%time,field.header.seq,field.header.stamp,field.header.frame_id,field.current_id,field.relative_rad
1385302994318868808,0,1385302994318868808,,0,0.0
1385302994587082565,1,1385302994587082565,,0,0.0
1385302994654966142,2,1385302994654966142,,0,0.0
1385302994749731984,3,1385302994749731984,,0,0.0
1385302994845128404,4,1385302994845128404,,0,0.0
1385302994950009726,5,1385302994950009726,,0,0.0
1385302994980592749,6,1385302994980592749,,0,0.0
1385302995065882768,7,1385302995065882768,,0,0.0
1385302995159212685,8,1385302995159212685,,0,0.0
1385302995318002888,9,1385302995318002888,,0,0.0
1385302995446711199,10,1385302995446711199,,0,0.0
1385302995510282200,11,1385302995510282200,,0,0.0
1385302995634517869,12,1385302995634517869,,0,0.0
1385302995670872242,13,1385302995670872242,,0,0.0
1385302995761362446,14,1385302995761362446,,0,0.0
1385302995873608526,15,1385302995873608526,,0,0.0
1385302995965796334,16,1385302995965796334,,0,0.0
1385302996070451295,17,1385302996070451295,,0,0.0
1385302996172547341,18,1385302996172547341,,0,0.0
1385302996279068753,19,1385302996279068753,,0,0.0
1385302996393210193,20,1385302996393210193,,0,0.0
1385302996509605900,21,1385302996509605900,,0,0.0
1385302996639606292,22,1385302996639606292,,0,0.0
1385302996733839608,23,1385302996733839608,,0,0.0
1385302996776326180,24,1385302996776326180,,0,0.0
1385302996875201578,25,1385302996875201578,,0,0.0
1385302996965598700,26,1385302996965598700,,0,0.0
1385302997068288344,27,1385302997068288344,,0,0.0
1385302997171732425,28,1385302997171732425,,0,0.0
1385302997273152591,29,1385302997273152591,,0,0.0
1385302997378806818,30,1385302997378806818,,0,0.0
1385302997484465290,31,1385302997484465290,,0,0.0
1385302997569198898,32,1385302997569198898,,0,0.0
1385302997669459897,33,1385302997669459897,,0,0.0
1385302997779365973,34,1385302997779365973,,1,0.0
1385302997876875675,35,1385302997876875675,,1,0.0
1385302997986479076,36,1385302997986479076,,2,0.0
1385302998099170811,37,1385302998099170811,,2,0.0
1385302998189359895,38,1385302998189359895,,3,0.0
